,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
65,0.15,5504,8738.0,8324.0,7829.0,7755.0,7535.0,7539.0,44436.0,2006-06-08,-90.8346,28.21605,Point_1,0_LT05_022040_20060606
66,0.18,5504,8941.0,8600.0,8160.0,7885.0,7706.0,7782.0,44438.0,2006-06-08,-90.83067,28.2668,Point_2,1_LT05_022040_20060606
67,0.6,5504,8603.0,8046.0,7828.0,7623.0,7449.0,7175.0,44843.0,2006-06-08,-90.83288,28.39032,Point_3,2_LT05_022040_20060606
68,0.83,5504,8669.0,8321.0,7827.0,7621.0,7363.0,7539.0,44848.0,2006-06-08,-90.83348,28.49902,Point_4,3_LT05_022040_20060606
69,0.77,5504,8521.0,8113.0,7653.0,7438.0,7432.0,7534.0,44655.0,2006-06-08,-90.83328,28.60633,Point_5,4_LT05_022040_20060606
70,0.81,5504,8137.0,7887.0,7541.0,7192.0,7407.0,7369.0,44604.0,2006-06-08,-91.24972,28.65843,Point_7,6_LT05_022040_20060606
71,1.62,5504,9530.0,9691.0,9470.0,9310.0,9246.0,8750.0,44382.0,2006-06-08,-90.39292,28.83187,Point_8,7_LT05_022040_20060606
72,0.93,5504,8185.0,8057.0,7573.0,7317.0,7266.0,7383.0,44856.0,2006-06-08,-90.83362,28.84163,Point_9,8_LT05_022040_20060606
73,3.24,5504,7949.0,7768.0,7205.0,7075.0,7056.0,7372.0,44536.0,2006-06-08,-91.24978,28.8579,Point_10,9_LT05_022040_20060606
74,1.6,5504,7808.0,7780.0,7216.0,7083.0,7148.0,7373.0,44590.0,2006-06-08,-91.24858,28.89952,Point_11,10_LT05_022040_20060606
75,2.98,5504,9264.0,9556.0,9252.0,9053.0,8819.0,8629.0,44367.0,2006-06-08,-90.49247,28.915,Point_12,11_LT05_022040_20060606
76,3.37,5504,9190.0,9276.0,9029.0,8919.0,8733.0,8508.0,44566.0,2006-06-08,-90.52412,28.95232,Point_13,12_LT05_022040_20060606
